class_id,tau,accepted_count,accepted_share
1,0,0.0,0.0
1,1,583.8,0.04963781898071352
1,2,588.3666666666667,0.05002982400704279
1,3,590.7,0.05022013699230973
1,4,584.6666666666666,0.0497107227351632
1,5,580.7333333333333,0.049380796659309494
1,6,579.8666666666667,0.04930352069813126
1,7,586.2666666666667,0.049846407539257336
1,8,584.9,0.049728246841811284
1,9,582.3333333333334,0.049518533379708435
1,10,1317.0333333333333,0.11208687478729204
1,11,3641.266666666667,0.30961983045962965
1,12,1471.8666666666666,0.12500718262899568
1,13,69.6,0.005910104290635539
2,0,0.0,0.0
2,1,580.5333333333333,0.049433375436729717
2,2,585.9333333333333,0.049889191264071646
2,3,589.0333333333333,0.0501546307768509
2,4,582.3,0.04957765244311117
2,5,580.6333333333333,0.049440982090245264
2,6,582.5666666666667,0.049600218691799654
2,7,584.0666666666667,0.049732988792888476
2,8,578.7,0.04927997419378431
2,9,598.0666666666667,0.05092241098418899
2,10,1321.9333333333334,0.11263937781964589
2,11,3636.266666666667,0.3096526257242423
2,12,1456.5,0.12391804544252147
2,13,67.66666666666667,0.005758526339920204
