class1_xi_high,mean,std,n,se,ci95,metric
0.0,0.9204238013698629,0.0023239068605114196,100,0.00023239068605114196,0.00045548574466023825,average_utilization
0.1,0.8937029109589041,0.002739763187057739,100,0.0002739763187057739,0.0005369935846633168,average_utilization
0.2,0.8672722602739726,0.0030454493452587504,100,0.00030454493452587505,0.0005969080716707151,average_utilization
0.3,0.8408467465753425,0.0033917248480730155,100,0.00033917248480730156,0.000664778070222311,average_utilization
0.4,0.8142345890410959,0.0039270149269668205,100,0.00039270149269668203,0.0007696949256854968,average_utilization
0.5,0.7873433219178082,0.004259825619499939,100,0.0004259825619499939,0.0008349258214219881,average_utilization
0.6,0.7605813356164384,0.0043867159766848105,100,0.0004386715976684811,0.0008597963314302229,average_utilization
0.7,0.7339648972602739,0.004707281048508539,100,0.0004707281048508539,0.0009226270855076736,average_utilization
0.8,0.7069691780821918,0.0047216467837058376,100,0.00047216467837058373,0.0009254427696063441,average_utilization
0.9,0.6805719178082192,0.004355830330122856,100,0.0004355830330122856,0.0008537427447040798,average_utilization
0.0,0.2940926807016072,0.0018542104227987938,100,0.00018542104227987937,0.00036342524286856354,overall_percent_serviced
0.1,0.2855835958677849,0.0018867310499788895,100,0.00018867310499788895,0.0003697992857958623,overall_percent_serviced
0.2,0.2771532929207012,0.001851085217193449,100,0.00018510852171934488,0.00036281270256991594,overall_percent_serviced
0.3,0.26873068333974687,0.0018875263833138553,100,0.00018875263833138554,0.00036995517112951566,overall_percent_serviced
0.4,0.26022740420747725,0.002025837668282032,100,0.0002025837668282032,0.00039706418298327825,overall_percent_serviced
0.5,0.25166060138421725,0.0020207859469631327,100,0.00020207859469631326,0.000396074045604774,overall_percent_serviced
0.6,0.24312461087520842,0.0020187162608335052,100,0.00020187162608335053,0.00039566838712336706,overall_percent_serviced
0.7,0.23461084685202915,0.0020382221171334628,100,0.00020382221171334628,0.0003994915349581587,overall_percent_serviced
0.8,0.22600953363312673,0.0019793226826649093,100,0.00019793226826649095,0.00038794724580232227,overall_percent_serviced
0.9,0.21756385088762617,0.001831332258072534,100,0.0001831332258072534,0.00035894112258221667,overall_percent_serviced
0.0,8.348896180117288,0.0804270879653375,100,0.00804270879653375,0.01576370924120615,mean_accepted_booking_delay
0.1,8.348896180117288,0.0804270879653375,100,0.00804270879653375,0.01576370924120615,mean_accepted_booking_delay
0.2,8.348896180117288,0.0804270879653375,100,0.00804270879653375,0.01576370924120615,mean_accepted_booking_delay
0.3,8.348896180117288,0.0804270879653375,100,0.00804270879653375,0.01576370924120615,mean_accepted_booking_delay
0.4,8.348896180117288,0.0804270879653375,100,0.00804270879653375,0.01576370924120615,mean_accepted_booking_delay
0.5,8.348896180117288,0.0804270879653375,100,0.00804270879653375,0.01576370924120615,mean_accepted_booking_delay
0.6,8.348896180117288,0.0804270879653375,100,0.00804270879653375,0.01576370924120615,mean_accepted_booking_delay
0.7,8.348896180117288,0.0804270879653375,100,0.00804270879653375,0.01576370924120615,mean_accepted_booking_delay
0.8,8.348896180117288,0.0804270879653375,100,0.00804270879653375,0.01576370924120615,mean_accepted_booking_delay
0.9,8.348896180117288,0.0804270879653375,100,0.00804270879653375,0.01576370924120615,mean_accepted_booking_delay
0.0,9.311627705753912,0.08877866952326995,100,0.008877866952326995,0.017400619226560908,mean_offered_booking_delay
0.1,9.311627705753912,0.08877866952326995,100,0.008877866952326995,0.017400619226560908,mean_offered_booking_delay
0.2,9.311627705753912,0.08877866952326995,100,0.008877866952326995,0.017400619226560908,mean_offered_booking_delay
0.3,9.311627705753912,0.08877866952326995,100,0.008877866952326995,0.017400619226560908,mean_offered_booking_delay
0.4,9.311627705753912,0.08877866952326995,100,0.008877866952326995,0.017400619226560908,mean_offered_booking_delay
0.5,9.311627705753912,0.08877866952326995,100,0.008877866952326995,0.017400619226560908,mean_offered_booking_delay
0.6,9.311627705753912,0.08877866952326995,100,0.008877866952326995,0.017400619226560908,mean_offered_booking_delay
0.7,9.311627705753912,0.08877866952326995,100,0.008877866952326995,0.017400619226560908,mean_offered_booking_delay
0.8,9.311627705753912,0.08877866952326995,100,0.008877866952326995,0.017400619226560908,mean_offered_booking_delay
0.9,9.311627705753912,0.08877866952326995,100,0.008877866952326995,0.017400619226560908,mean_offered_booking_delay
